AssessmentID,CandidateID,EventDate,Caption,Assessment_Type,Assessment_Duration,Vendor,Outcome,Overall_Score,Detail_URL,Cost
Assessment-5263,Candidate-180343,2017-08-21,Select Intenational - Destinee Hawk - Marketing:Hire Marketing Specialist - APAC : Requisition-1223,Strengths Inventory,48,Select Intenational,Success,74.89562060086536,https://www.selectinternational.com/id?Candidate-180343,20.0
Assessment-5264,Candidate-180323,2017-08-21,Optimize Hire - Keita Vaughan - Customer Support:Campus Customer Support Representative - South America : Requisition-2,Motivation Test,60,Optimize Hire,Success,71.63184831814206,https://optimizehire.com/id=?Candidate-180323,40.0
Assessment-5265,Candidate-180323,2017-08-21,Optimize Hire - Keita Vaughan - Customer Support:Campus Customer Support Representative - South America : Requisition-2,Personality test,24,Optimize Hire,Success,89.90869687724818,https://optimizehire.com/id=?Candidate-180323,40.0
Assessment-5266,Candidate-180323,2017-08-21,Optimize Hire - Keita Vaughan - Customer Support:Campus Customer Support Representative - South America : Requisition-2,Cognitive Ability Test,12,Optimize Hire,Success,62.41402084119731,https://optimizehire.com/id=?Candidate-180323,60.0
Assessment-5267,Candidate-180323,2017-08-21,Select International - Keita Vaughan - Customer Support:Campus Customer Support Representative - South America : Requisition-2,PPQ,36,Select International,Success,83.80986781281146,https://bluesphere.Select International.com/behaviour/id?Candidate-180323,20.0
Assessment-5268,Candidate-180323,2017-08-21,Select International - Keita Vaughan - Customer Support:Campus Customer Support Representative - South America : Requisition-2,PPQ,72,Select International,Success,109.1790665491397,https://bluesphere.cultureamp.com/?Candidate-180323,20.0
Assessment-5269,Candidate-180323,2017-08-21,Select International - Keita Vaughan - Customer Support:Campus Customer Support Representative - South America : Requisition-2,Strengths Inventory,24,Select International,Success,109.468167338863,https://www.selectinternational.com/id?Candidate-180323,20.0
Assessment-5270,Candidate-8539,2017-08-21,CEG - Rosie Mcclain - Operations:Hire Plant Supervisor - APAC : Requisition-1058,Project Manager Assessment,24,CEG,Success,115.80494362304327,https://www.corpedgroup.com/id=?Candidate-8539,100.0
Assessment-5271,Candidate-8539,2017-08-21,Select International - Rosie Mcclain - Operations:Hire Plant Supervisor - APAC : Requisition-1058,PPQ,24,Select International,Success,87.4035654106227,https://use.plum.io/assessments?Candidate-8539,20.0
Assessment-5272,Candidate-8539,2017-08-21,Select International - Rosie Mcclain - Operations:Hire Plant Supervisor - APAC : Requisition-1058,Strengths Inventory,36,Select International,Success,61.330179627385554,https://www.selectinternational.com/id?Candidate-8539,20.0
Assessment-5273,Candidate-180278,2017-08-21,CEG - Daragh Clements - Operations:Hire Plant Supervisor - APAC : Requisition-1107,Project Manager Assessment,24,CEG,Success,109.98088631704348,https://www.corpedgroup.com/id=?Candidate-180278,100.0
Assessment-5274,Candidate-180278,2017-08-21,Select International - Daragh Clements - Operations:Hire Plant Supervisor - APAC : Requisition-1107,PPQ,24,Select International,Success,60.0,https://use.plum.io/assessments?Candidate-180278,20.0
Assessment-5275,Candidate-180278,2017-08-21,Select International - Daragh Clements - Operations:Hire Plant Supervisor - APAC : Requisition-1107,Strengths Inventory,36,Select International,Success,84.25297441933773,https://www.selectinternational.com/id?Candidate-180278,20.0
Assessment-5276,Candidate-180274,2017-08-21,Select International - Clemencia Garris - Sales:Hire Sales Coordinator - South America : Requisition-1116,PPQ,84,Select International,Success,105.67209430982508,https://bluesphere.Select International.com/behaviour/id?Candidate-180274,20.0
Assessment-5277,Candidate-180274,2017-08-21,Select International - Clemencia Garris - Sales:Hire Sales Coordinator - South America : Requisition-1116,Strengths Inventory,72,Select International,Success,60.0,https://www.selectinternational.com/id?Candidate-180274,20.0
Assessment-5278,Candidate-69126,2017-08-21,Optimize Hire - Emilee Dillon - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,Motivation Test,60,Optimize Hire,Success,60.0,https://optimizehire.com/id=?Candidate-69126,40.0
Assessment-5279,Candidate-69126,2017-08-21,Optimize Hire - Emilee Dillon - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,Personality test,24,Optimize Hire,Success,84.9959542603921,https://optimizehire.com/id=?Candidate-69126,40.0
Assessment-5280,Candidate-69126,2017-08-21,Optimize Hire - Emilee Dillon - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,Cognitive Ability Test,12,Optimize Hire,Success,91.09201426214608,https://optimizehire.com/id=?Candidate-69126,60.0
Assessment-5281,Candidate-69126,2017-08-21,Select International - Emilee Dillon - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,PPQ,36,Select International,Success,75.70306792105158,https://bluesphere.Select International.com/behaviour/id?Candidate-69126,20.0
Assessment-5282,Candidate-69126,2017-08-21,Select International - Emilee Dillon - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,PPQ,72,Select International,Success,80.84368068092365,https://bluesphere.cultureamp.com/?Candidate-69126,20.0
Assessment-5283,Candidate-69126,2017-08-21,Select International - Emilee Dillon - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,Strengths Inventory,24,Select International,Success,68.82506151934248,https://www.selectinternational.com/id?Candidate-69126,20.0
Assessment-5284,Candidate-130362,2017-08-21,Optimize Hire - Tadhg Smoot - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,Motivation Test,60,Optimize Hire,Success,111.11316380384048,https://optimizehire.com/id=?Candidate-130362,40.0
Assessment-5285,Candidate-130362,2017-08-21,Optimize Hire - Tadhg Smoot - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,Personality test,24,Optimize Hire,Success,64.95542846871282,https://optimizehire.com/id=?Candidate-130362,40.0
Assessment-5286,Candidate-130362,2017-08-21,Optimize Hire - Tadhg Smoot - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,Cognitive Ability Test,12,Optimize Hire,Success,64.62230916658785,https://optimizehire.com/id=?Candidate-130362,60.0
Assessment-5287,Candidate-130362,2017-08-21,Select International - Tadhg Smoot - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,PPQ,36,Select International,Success,93.193342509618,https://bluesphere.Select International.com/behaviour/id?Candidate-130362,20.0
Assessment-5288,Candidate-130362,2017-08-21,Select International - Tadhg Smoot - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,PPQ,72,Select International,Success,60.0,https://bluesphere.cultureamp.com/?Candidate-130362,20.0
Assessment-5289,Candidate-130362,2017-08-21,Select International - Tadhg Smoot - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,Strengths Inventory,24,Select International,Success,86.44561635252694,https://www.selectinternational.com/id?Candidate-130362,20.0
Assessment-5290,Candidate-109745,2017-08-21,Select International - Joann Novak - IT:Hire Information Security Specialist - North America : Requisition-1124,PPQ,12,Select International,Success,116.03335290603678,https://www.selectinternational.com/id?Candidate-109745,20.0
Assessment-5291,Candidate-180267,2017-08-21,Select International - Karina Snow - Finance:Hire Accountant - A/R - North America : Requisition-1126,PPQ,12,Select International,Success,89.81988470159153,https://bluesphere.Select International.com/behaviour/id?Candidate-180267,20.0
Assessment-5292,Candidate-180266,2017-08-21,Select International - Johnny Hubbard - Finance:Hire Accountant - A/R - North America : Requisition-1126,PPQ,12,Select International,Success,78.28203538625854,https://bluesphere.Select International.com/behaviour/id?Candidate-180266,20.0
Assessment-5293,Candidate-180250,2017-08-21,Select International - Rick Hogan - Finance:Hire Accountant - A/R - North America : Requisition-1143,PPQ,12,Select International,Success,92.46705840450502,https://bluesphere.Select International.com/behaviour/id?Candidate-180250,20.0
Assessment-5294,Candidate-110399,2017-08-21,CEG - Grayson Sano - Operations:Hire Plant Supervisor - North America : Requisition-1155,Project Manager Assessment,24,CEG,Success,73.54049730113005,https://www.corpedgroup.com/id=?Candidate-110399,100.0
Assessment-5295,Candidate-110399,2017-08-21,Select International - Grayson Sano - Operations:Hire Plant Supervisor - North America : Requisition-1155,PPQ,24,Select International,Success,102.86011622316202,https://use.plum.io/assessments?Candidate-110399,20.0
Assessment-5296,Candidate-110399,2017-08-21,Select International - Grayson Sano - Operations:Hire Plant Supervisor - North America : Requisition-1155,Strengths Inventory,36,Select International,Success,84.37346009930747,https://www.selectinternational.com/id?Candidate-110399,20.0
Assessment-5297,Candidate-180231,2017-08-21,CEG - Karim Freeman - Operations:Hire Plant Operations Analyst - APAC : Requisition-1163,Project Manager Assessment,24,CEG,Success,60.0,https://www.corpedgroup.com/id=?Candidate-180231,100.0
Assessment-5298,Candidate-180231,2017-08-21,Select International - Karim Freeman - Operations:Hire Plant Operations Analyst - APAC : Requisition-1163,PPQ,24,Select International,Success,73.43671853226328,https://use.plum.io/assessments?Candidate-180231,20.0
Assessment-5299,Candidate-180231,2017-08-21,Select International - Karim Freeman - Operations:Hire Plant Operations Analyst - APAC : Requisition-1163,Strengths Inventory,36,Select International,Success,129.45890972101012,https://www.selectinternational.com/id?Candidate-180231,20.0
Assessment-5300,Candidate-180225,2017-08-21,CEG - Gauge Diaz - Operations:Hire Assistant Plant Manager - North America : Requisition-1165,Project Manager Assessment,24,CEG,Success,75.1266076460518,https://www.corpedgroup.com/id=?Candidate-180225,100.0
Assessment-5301,Candidate-180225,2017-08-21,Select International - Gauge Diaz - Operations:Hire Assistant Plant Manager - North America : Requisition-1165,PPQ,24,Select International,Success,61.4588056656671,https://use.plum.io/assessments?Candidate-180225,20.0
Assessment-5302,Candidate-180225,2017-08-21,Select International - Gauge Diaz - Operations:Hire Assistant Plant Manager - North America : Requisition-1165,Strengths Inventory,36,Select International,Success,76.6156306261241,https://www.selectinternational.com/id?Candidate-180225,20.0
Assessment-5303,Candidate-180221,2017-08-21,Select International - Zane Kinard - IT:Hire IT Project Analyst - North America : Requisition-1168,PPQ,12,Select International,Success,84.0908094407118,https://www.selectinternational.com/id?Candidate-180221,20.0
Assessment-5304,Candidate-180178,2017-08-21,CEG - Elias Espinoza - Operations:Hire Plant Supervisor - North America : Requisition-1212,Project Manager Assessment,24,CEG,Success,80.00684143873612,https://www.corpedgroup.com/id=?Candidate-180178,100.0
Assessment-5305,Candidate-180178,2017-08-21,Select International - Elias Espinoza - Operations:Hire Plant Supervisor - North America : Requisition-1212,PPQ,24,Select International,Success,60.0,https://use.plum.io/assessments?Candidate-180178,20.0
Assessment-5306,Candidate-180178,2017-08-21,Select International - Elias Espinoza - Operations:Hire Plant Supervisor - North America : Requisition-1212,Strengths Inventory,36,Select International,Success,108.25176904156709,https://www.selectinternational.com/id?Candidate-180178,20.0
Assessment-5307,Candidate-180174,2017-08-21,Select International - Emil Corona - Finance:Hire Finance Manager - Financial Reporting - North America : Requisition-1215,PPQ,12,Select International,Success,104.65314561898845,https://bluesphere.Select International.com/behaviour/id?Candidate-180174,20.0
Assessment-5308,Candidate-484,2017-08-21,Select International - Mariyah Wu - Sales:Hire Sales Coordinator - North America : Requisition-1217,PPQ,84,Select International,Success,60.0,https://bluesphere.Select International.com/behaviour/id?Candidate-484,20.0
Assessment-5309,Candidate-484,2017-08-21,Select International - Mariyah Wu - Sales:Hire Sales Coordinator - North America : Requisition-1217,Strengths Inventory,72,Select International,Success,67.81753069180913,https://www.selectinternational.com/id?Candidate-484,20.0
Assessment-5310,Candidate-180165,2017-08-21,Select International - Mack Krueger - Marketing:Hire Marketing Specialist - North America : Requisition-1225,PPQ,36,Select International,Success,83.15590401907565,https://www.selectinternational.com/id?Candidate-180165,20.0
Assessment-5311,Candidate-180165,2017-08-21,Select Intenational - Mack Krueger - Marketing:Hire Marketing Specialist - North America : Requisition-1225,Strengths Inventory,48,Select Intenational,Success,94.2811881105799,https://www.selectinternational.com/id?Candidate-180165,20.0
Assessment-5312,Candidate-9762,2017-08-21,Select International - Zuri Blevins - HR:Hire HR Business Partner - North America : Requisition-1227,PPQ,24,Select International,Success,73.47424281138338,https://bluesphere.cultureamp.com/?Candidate-9762,20.0
Assessment-5313,Candidate-9762,2017-08-21,Select International - Zuri Blevins - HR:Hire HR Business Partner - North America : Requisition-1227,Strengths Inventory,84,Select International,Success,95.65212548428326,https://www.selectinternational.com/id?Candidate-9762,20.0
Assessment-5314,Candidate-180155,2017-08-21,Select International - Ivanna Templeton - HR:Hire HR Business Partner - North America : Requisition-1229,PPQ,24,Select International,Success,82.04767019046322,https://bluesphere.cultureamp.com/?Candidate-180155,20.0
Assessment-5315,Candidate-180155,2017-08-21,Select International - Ivanna Templeton - HR:Hire HR Business Partner - North America : Requisition-1229,Strengths Inventory,84,Select International,Success,70.53357877536817,https://www.selectinternational.com/id?Candidate-180155,20.0
Assessment-5316,Candidate-142202,2017-08-21,Select International - Sofia Weaver - Finance:Hire Financial Analyst - APAC : Requisition-1230,PPQ,12,Select International,Success,76.33077757506425,https://bluesphere.Select International.com/behaviour/id?Candidate-142202,20.0
Assessment-5317,Candidate-180153,2017-08-21,Select International - Tammy Navarro - IT:Hire IT Applications Manager - North America : Requisition-1231,PPQ,12,Select International,Success,64.73712795634634,https://www.selectinternational.com/id?Candidate-180153,20.0
Assessment-5318,Candidate-180146,2017-08-21,Optimize Hire - Elizabeth Horner - Customer Support:Campus Customer Support Representative - South America : Requisition-2,Motivation Test,60,Optimize Hire,Success,75.50522715806743,https://optimizehire.com/id=?Candidate-180146,40.0
Assessment-5319,Candidate-180146,2017-08-21,Optimize Hire - Elizabeth Horner - Customer Support:Campus Customer Support Representative - South America : Requisition-2,Personality test,24,Optimize Hire,Success,65.85551806974364,https://optimizehire.com/id=?Candidate-180146,40.0
Assessment-5320,Candidate-180146,2017-08-21,Optimize Hire - Elizabeth Horner - Customer Support:Campus Customer Support Representative - South America : Requisition-2,Cognitive Ability Test,12,Optimize Hire,Success,81.69378375520346,https://optimizehire.com/id=?Candidate-180146,60.0
Assessment-5321,Candidate-180146,2017-08-21,Select International - Elizabeth Horner - Customer Support:Campus Customer Support Representative - South America : Requisition-2,PPQ,36,Select International,Success,69.80279779974732,https://bluesphere.Select International.com/behaviour/id?Candidate-180146,20.0
Assessment-5322,Candidate-180146,2017-08-21,Select International - Elizabeth Horner - Customer Support:Campus Customer Support Representative - South America : Requisition-2,PPQ,72,Select International,Success,92.95022834907819,https://bluesphere.cultureamp.com/?Candidate-180146,20.0
Assessment-5323,Candidate-180146,2017-08-21,Select International - Elizabeth Horner - Customer Support:Campus Customer Support Representative - South America : Requisition-2,Strengths Inventory,24,Select International,Success,99.6069833939139,https://www.selectinternational.com/id?Candidate-180146,20.0
Assessment-5324,Candidate-180062,2017-08-21,Select International - Petal Worrell - Marketing:Hire Marketing Manager - APAC : Requisition-1137,PPQ,36,Select International,Success,88.74882703366801,https://www.selectinternational.com/id?Candidate-180062,20.0
Assessment-5325,Candidate-180062,2017-08-21,Select Intenational - Petal Worrell - Marketing:Hire Marketing Manager - APAC : Requisition-1137,Strengths Inventory,48,Select Intenational,Success,112.68180555640707,https://www.selectinternational.com/id?Candidate-180062,20.0
Assessment-5326,Candidate-180055,2017-08-21,Select International - Cameron Tucker - IT:Hire IT Project Analyst - North America : Requisition-1147,PPQ,12,Select International,Success,85.82620169961596,https://www.selectinternational.com/id?Candidate-180055,20.0
Assessment-5327,Candidate-180045,2017-08-21,CEG - Kierra Coffey - Operations:Hire Plant Supervisor - North America : Requisition-1155,Project Manager Assessment,24,CEG,Success,104.74184083856564,https://www.corpedgroup.com/id=?Candidate-180045,100.0
Assessment-5328,Candidate-180045,2017-08-21,Select International - Kierra Coffey - Operations:Hire Plant Supervisor - North America : Requisition-1155,PPQ,24,Select International,Success,86.4769793485026,https://use.plum.io/assessments?Candidate-180045,20.0
Assessment-5329,Candidate-180045,2017-08-21,Select International - Kierra Coffey - Operations:Hire Plant Supervisor - North America : Requisition-1155,Strengths Inventory,36,Select International,Success,67.58269049723302,https://www.selectinternational.com/id?Candidate-180045,20.0
Assessment-5330,Candidate-131769,2017-08-21,Select International - Joleen Day - IT:Hire IT Project Analyst - North America : Requisition-1173,PPQ,12,Select International,Success,82.89922680744635,https://www.selectinternational.com/id?Candidate-131769,20.0
Assessment-5331,Candidate-180018,2017-08-21,Select International - Joaquin Horne - Marketing:Hire Marketing Specialist - North America : Requisition-1190,PPQ,36,Select International,Success,132.12530646221776,https://www.selectinternational.com/id?Candidate-180018,20.0
Assessment-5332,Candidate-180018,2017-08-21,Select Intenational - Joaquin Horne - Marketing:Hire Marketing Specialist - North America : Requisition-1190,Strengths Inventory,48,Select Intenational,Success,78.70590628142381,https://www.selectinternational.com/id?Candidate-180018,20.0
Assessment-5333,Candidate-180016,2017-08-21,Select International - Kevin Cohen - Marketing:Hire Marketing Specialist - North America : Requisition-1190,PPQ,36,Select International,Success,93.47047659154674,https://www.selectinternational.com/id?Candidate-180016,20.0
Assessment-5334,Candidate-180016,2017-08-21,Select Intenational - Kevin Cohen - Marketing:Hire Marketing Specialist - North America : Requisition-1190,Strengths Inventory,48,Select Intenational,Success,61.93783870129794,https://www.selectinternational.com/id?Candidate-180016,20.0
Assessment-5335,Candidate-179998,2017-08-21,Select International - Tamara Berg - Finance:Hire Accountant - A/R - North America : Requisition-1200,PPQ,12,Select International,Success,85.21573012321286,https://bluesphere.Select International.com/behaviour/id?Candidate-179998,20.0
Assessment-5336,Candidate-179987,2017-08-21,CEG - Gerry Guyton - Operations:Hire Maintenance Engineer - South America : Requisition-1204,Project Manager Assessment,24,CEG,Success,87.76877688545461,https://www.corpedgroup.com/id=?Candidate-179987,100.0
Assessment-5337,Candidate-179987,2017-08-21,Select International - Gerry Guyton - Operations:Hire Maintenance Engineer - South America : Requisition-1204,PPQ,24,Select International,Success,82.67838796730895,https://use.plum.io/assessments?Candidate-179987,20.0
Assessment-5338,Candidate-179987,2017-08-21,Select International - Gerry Guyton - Operations:Hire Maintenance Engineer - South America : Requisition-1204,Strengths Inventory,36,Select International,Success,76.57151004902269,https://www.selectinternational.com/id?Candidate-179987,20.0
Assessment-5339,Candidate-179967,2017-08-21,Select International - Bart Forman - IT:Hire IT Project Analyst - North America : Requisition-1221,PPQ,12,Select International,Success,89.56485569950442,https://www.selectinternational.com/id?Candidate-179967,20.0
Assessment-5340,Candidate-179953,2017-08-21,Optimize Hire - Scarlett Seaton - Customer Support:Campus Customer Support Coordinator - North America : Requisition-1,Motivation Test,60,Optimize Hire,Success,69.61321374382653,https://optimizehire.com/id=?Candidate-179953,40.0
Assessment-5341,Candidate-179953,2017-08-21,Optimize Hire - Scarlett Seaton - Customer Support:Campus Customer Support Coordinator - North America : Requisition-1,Personality test,24,Optimize Hire,Success,89.52022416465307,https://optimizehire.com/id=?Candidate-179953,40.0
Assessment-5342,Candidate-179953,2017-08-21,Optimize Hire - Scarlett Seaton - Customer Support:Campus Customer Support Coordinator - North America : Requisition-1,Cognitive Ability Test,12,Optimize Hire,Success,67.48003587391754,https://optimizehire.com/id=?Candidate-179953,60.0
Assessment-5343,Candidate-179953,2017-08-21,Select International - Scarlett Seaton - Customer Support:Campus Customer Support Coordinator - North America : Requisition-1,PPQ,36,Select International,Success,97.40187985603141,https://bluesphere.Select International.com/behaviour/id?Candidate-179953,20.0
Assessment-5344,Candidate-179953,2017-08-21,Select International - Scarlett Seaton - Customer Support:Campus Customer Support Coordinator - North America : Requisition-1,PPQ,72,Select International,Success,82.61571188456861,https://bluesphere.cultureamp.com/?Candidate-179953,20.0
Assessment-5345,Candidate-179953,2017-08-21,Select International - Scarlett Seaton - Customer Support:Campus Customer Support Coordinator - North America : Requisition-1,Strengths Inventory,24,Select International,Success,74.00703830194573,https://www.selectinternational.com/id?Candidate-179953,20.0
Assessment-5346,Candidate-179945,2017-08-21,Select International - Jose Alvarado - IT:Campus Manufacturing Applications Specialist - North America : Requisition-10,PPQ,12,Select International,Success,95.47466454902982,https://www.selectinternational.com/id?Candidate-179945,20.0
Assessment-5347,Candidate-179943,2017-08-21,Select International - Darlene Hardy - IT:Campus Desktop Applications Specialist - EMEA : Requisition-11,PPQ,12,Select International,Success,110.52500104678671,https://www.selectinternational.com/id?Candidate-179943,20.0
Assessment-5348,Candidate-179941,2017-08-21,Select International - Maximiliano Browning - Marketing:Campus Marketing Specialist - North America : Requisition-13,PPQ,36,Select International,Success,98.81970260350052,https://www.selectinternational.com/id?Candidate-179941,20.0
Assessment-5349,Candidate-179941,2017-08-21,Select Intenational - Maximiliano Browning - Marketing:Campus Marketing Specialist - North America : Requisition-13,Strengths Inventory,48,Select Intenational,Success,60.0,https://www.selectinternational.com/id?Candidate-179941,20.0
Assessment-5350,Candidate-179936,2017-08-21,Select International - Cassidy Morrow - Finance:Hire Senior Accountant - APAC : Requisition-1003,PPQ,12,Select International,Success,94.77224483111551,https://bluesphere.Select International.com/behaviour/id?Candidate-179936,20.0
Assessment-5351,Candidate-179910,2017-08-21,Select International - Celia Leal - HR:Hire Talent Management Specialist - North America : Requisition-1108,PPQ,24,Select International,Success,60.0,https://bluesphere.cultureamp.com/?Candidate-179910,20.0
Assessment-5352,Candidate-179910,2017-08-21,Select International - Celia Leal - HR:Hire Talent Management Specialist - North America : Requisition-1108,Strengths Inventory,84,Select International,Success,70.46502844834777,https://www.selectinternational.com/id?Candidate-179910,20.0
Assessment-5353,Candidate-179899,2017-08-21,Select International - Adriana Nieto - Sales:Hire Sales Regional Director : Requisition-1127,PPQ,84,Select International,Success,60.0,https://bluesphere.Select International.com/behaviour/id?Candidate-179899,20.0
Assessment-5354,Candidate-179899,2017-08-21,Select International - Adriana Nieto - Sales:Hire Sales Regional Director : Requisition-1127,Strengths Inventory,72,Select International,Success,89.57502892490936,https://www.selectinternational.com/id?Candidate-179899,20.0
Assessment-5355,Candidate-121621,2017-08-21,CEG - Pam Belmonte - Operations:Hire Maintenance Engineer - North America : Requisition-1134,Project Manager Assessment,24,CEG,Success,68.01876903434436,https://www.corpedgroup.com/id=?Candidate-121621,100.0
Assessment-5356,Candidate-121621,2017-08-21,Select International - Pam Belmonte - Operations:Hire Maintenance Engineer - North America : Requisition-1134,PPQ,24,Select International,Success,110.65198353949377,https://use.plum.io/assessments?Candidate-121621,20.0
Assessment-5357,Candidate-121621,2017-08-21,Select International - Pam Belmonte - Operations:Hire Maintenance Engineer - North America : Requisition-1134,Strengths Inventory,36,Select International,Success,98.7816912411511,https://www.selectinternational.com/id?Candidate-121621,20.0
Assessment-5358,Candidate-179889,2017-08-21,Select International - Jad Li - Sales:Hire Sales Development Representative - EMEA : Requisition-1141,PPQ,84,Select International,Fail,2.8048536543500298,https://bluesphere.Select International.com/behaviour/id?Candidate-179889,20.0
Assessment-5359,Candidate-179889,2017-08-21,Select International - Jad Li - Sales:Hire Sales Development Representative - EMEA : Requisition-1141,Strengths Inventory,72,Select International,Fail,23.128989595241013,https://www.selectinternational.com/id?Candidate-179889,20.0
Assessment-5360,Candidate-92699,2017-08-21,Select International - Emilio Parks - Finance:Hire Senior Accountant - South America : Requisition-1151,PPQ,12,Select International,Success,60.0,https://bluesphere.Select International.com/behaviour/id?Candidate-92699,20.0
Assessment-5361,Candidate-61635,2017-08-21,Select International - Abner Kim - Finance:Hire Accountant - A/R - North America : Requisition-1157,PPQ,12,Select International,Success,71.20187091796662,https://bluesphere.Select International.com/behaviour/id?Candidate-61635,20.0
Assessment-5362,Candidate-9509,2017-08-21,Select International - Maddie Ledesma - Finance:Hire Accountant - A/R - North America : Requisition-1157,PPQ,12,Select International,Fail,28.718147069773796,https://bluesphere.Select International.com/behaviour/id?Candidate-9509,20.0
Assessment-5363,Candidate-179874,2017-08-21,Select International - Maximiliano Steele - IT:Hire IT Infrastructure Specialist - North America : Requisition-1162,PPQ,12,Select International,Success,62.23111216339514,https://www.selectinternational.com/id?Candidate-179874,20.0
Assessment-5364,Candidate-179867,2017-08-21,Select International - Gracie Bautista - Marketing:Hire Senior Marketing Specialist - North America : Requisition-1171,PPQ,36,Select International,Success,74.39142871860061,https://www.selectinternational.com/id?Candidate-179867,20.0
Assessment-5365,Candidate-179867,2017-08-21,Select Intenational - Gracie Bautista - Marketing:Hire Senior Marketing Specialist - North America : Requisition-1171,Strengths Inventory,48,Select Intenational,Success,70.22275640619584,https://www.selectinternational.com/id?Candidate-179867,20.0
Assessment-5366,Candidate-25586,2017-08-21,Select International - Taro Franklin - Finance:Hire Accountant - A/R - North America : Requisition-1187,PPQ,12,Select International,Success,88.37785888651993,https://bluesphere.Select International.com/behaviour/id?Candidate-25586,20.0
Assessment-5367,Candidate-179858,2017-08-21,Select International - Oliver Edwards - Finance:Hire Accountant - A/R - North America : Requisition-1187,PPQ,12,Select International,Success,110.34227375913774,https://bluesphere.Select International.com/behaviour/id?Candidate-179858,20.0
