ApplicantID,CandidateID,RequisitionID,EventDate,applicantStatus,Caption,Apply_Date,Current_Status,HiredAsID,Application_Source,applicantStage,Applicant_Sub_Stage,Stage_Category,Expected_Start_Date,Diverse_Flag,Relocation
Applicant-204504,Candidate-166163,Requisition-1125,2017-08-28,Active,Desiree Romero - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-04-13,True,,CSR,Background checked,Background check complete,Recruiting,,True,False
Applicant-204504,Candidate-166163,Requisition-1125,2017-08-29,Position Filled,Desiree Romero - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-04-13,False,,CSR,Background checked,Background check complete,Recruiting,,True,False
Applicant-204513,Candidate-166172,Requisition-1119,2017-08-28,Active,Tina Macdonald - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,2017-04-13,True,,Website,Offered,Offer sent,Business,,False,False
Applicant-204541,Candidate-166194,Requisition-1107,2017-08-29,Position Filled,Catalina Ritter - Operations:Hire Plant Supervisor - APAC : Requisition-1107,2017-04-13,False,,Plant Power,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-204542,Candidate-166195,Requisition-1107,2017-08-29,Position Filled,Orion Snow - Operations:Hire Plant Supervisor - APAC : Requisition-1107,2017-04-13,False,,Plant Power,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-204707,Candidate-122610,Requisition-1124,2017-08-28,Active,Melanie Tanaka - IT:Hire Information Security Specialist - North America : Requisition-1124,2017-04-14,True,,Job Posting,Offered,Offer sent,Business,,True,False
Applicant-204707,Candidate-122610,Requisition-1124,2017-08-31,Position Filled,Melanie Tanaka - IT:Hire Information Security Specialist - North America : Requisition-1124,2017-04-14,False,,Job Posting,Offered,Offer sent,Business,,True,False
Applicant-204737,Candidate-166335,Requisition-1103,2017-08-29,Position Filled,Robby Miles - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-04-14,False,,Monster.com,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-204738,Candidate-166336,Requisition-1103,2017-08-29,Position Filled,Juan Sebastian Sanford - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-04-14,False,,Internal,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-204907,Candidate-166479,Requisition-1125,2017-08-28,Active,Maurice Oneal - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-04-17,True,,CSR,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-204907,Candidate-166479,Requisition-1125,2017-08-29,Position Filled,Maurice Oneal - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-04-17,False,,CSR,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-204909,Candidate-166480,Requisition-1124,2017-08-31,Hired,Azalea Manning - IT:Hire Information Security Specialist - North America : Requisition-1124,2017-04-17,False,Employee-2234,Website,Hired Yet to Start,Hired yet to start,Candidate,2017-09-14,True,False
Applicant-204930,Candidate-166496,Requisition-1103,2017-08-29,Position Filled,Maximiliano Benitez - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-04-17,False,,LinkedIn.com,Hired Yet to Start,Hired yet to start,Candidate,,,False
Applicant-205330,Candidate-166811,Requisition-1107,2017-08-29,Position Filled,Evelina Tidwell - Operations:Hire Plant Supervisor - APAC : Requisition-1107,2017-04-19,False,,Plant Power,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-205505,Candidate-166948,Requisition-1123,2017-08-29,Active,Tony Smyth - IT:Hire IT Infrastructure Specialist - North America : Requisition-1123,2017-04-20,True,,CSR,Offer Accepted,Move to background check,Recruiting,,,False
Applicant-205507,Candidate-166950,Requisition-1122,2017-08-31,Active,Mollie Oneill - Finance:Hire Finance Manager - A/R - North America : Requisition-1122,2017-04-20,True,,Monster.com,Background checked,Background check complete,Recruiting,,True,False
Applicant-205522,Candidate-166962,Requisition-1107,2017-08-29,Hired,Mauricio Cervantes - Operations:Hire Plant Supervisor - APAC : Requisition-1107,2017-04-20,False,Employee-46,Plant Power,Hired Yet to Start,Hired yet to start,Candidate,2017-08-15,False,False
Applicant-205526,Candidate-166966,Requisition-1103,2017-08-29,Position Filled,Lesly Beck - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-04-20,False,,LinkedIn.com,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-205682,Candidate-167089,Requisition-1126,2017-08-30,Active,Kaylee Jett - Finance:Hire Accountant - A/R - North America : Requisition-1126,2017-04-21,True,,Website,Background checked,Background check complete,Recruiting,,True,False
Applicant-205683,Candidate-167090,Requisition-1126,2017-08-28,Active,Michael Blackwell - Finance:Hire Accountant - A/R - North America : Requisition-1126,2017-04-21,True,,Internal,Background checked,Background check complete,Recruiting,,True,False
Applicant-205711,Candidate-167110,Requisition-1108,2017-08-28,Active,Maci Savage - HR:Hire Talent Management Specialist - North America : Requisition-1108,2017-04-21,True,,Monster.com,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-205711,Candidate-167110,Requisition-1108,2017-08-31,Position Filled,Maci Savage - HR:Hire Talent Management Specialist - North America : Requisition-1108,2017-04-21,False,,Monster.com,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-205712,Candidate-167111,Requisition-1108,2017-08-28,Active,Dwayne Dillon - HR:Hire Talent Management Specialist - North America : Requisition-1108,2017-04-21,True,,Internal,Offered,Offer sent,Business,,False,False
Applicant-205712,Candidate-167111,Requisition-1108,2017-08-31,Position Filled,Dwayne Dillon - HR:Hire Talent Management Specialist - North America : Requisition-1108,2017-04-21,False,,Internal,Offered,Offer sent,Business,,False,False
Applicant-205719,Candidate-167115,Requisition-1103,2017-08-29,Position Filled,Tessa Seymore - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-04-21,False,,Website,Background checked,Background check complete,Recruiting,,False,False
Applicant-205720,Candidate-167116,Requisition-1103,2017-08-28,Active,Romulus Bennett - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-04-21,True,,Monster.com,Offered,Offer sent,Business,,False,False
Applicant-205720,Candidate-167116,Requisition-1103,2017-08-29,Position Filled,Romulus Bennett - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-04-21,False,,Monster.com,Offered,Offer sent,Business,,False,False
Applicant-205901,Candidate-167250,Requisition-1133,2017-08-31,Active,Connie Duke - Operations:Hire Maintenance Engineer - South America : Requisition-1133,2017-04-24,True,,Internal,Background checked,Background check complete,Recruiting,,True,False
Applicant-205903,Candidate-103047,Requisition-1133,2017-08-28,Active,Rodger Almazan - Operations:Hire Maintenance Engineer - South America : Requisition-1133,2017-04-24,True,,Job Posting,Hired Yet to Start,Hired yet to start,Candidate,,,False
Applicant-205906,Candidate-167254,Requisition-1130,2017-08-29,Active,Haley Lawson - IT:Hire IT Project Analyst - North America : Requisition-1130,2017-04-24,True,,Job Posting,Offered,Offer countered,Business,,True,False
Applicant-205910,Candidate-167256,Requisition-1126,2017-08-28,Active,Saylor Perkins - Finance:Hire Accountant - A/R - North America : Requisition-1126,2017-04-24,True,,Website,Offer Accepted,Move to background check,Recruiting,,True,False
Applicant-205913,Candidate-167259,Requisition-1123,2017-08-29,Active,Jonathan Grogan - IT:Hire IT Infrastructure Specialist - North America : Requisition-1123,2017-04-24,True,,CSR,Offer Accepted,Move to background check,Recruiting,,True,False
Applicant-205916,Candidate-167262,Requisition-1122,2017-08-31,Active,Ilona Montero - Finance:Hire Finance Manager - A/R - North America : Requisition-1122,2017-04-24,True,,Monster.com,Background checked,Background check complete,Recruiting,,,False
Applicant-205918,Candidate-115783,Requisition-1119,2017-08-30,Active,Shinji Barry - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,2017-04-24,True,,Website,Offer Accepted,Move to background check,Recruiting,,False,False
Applicant-206052,Candidate-167362,Requisition-992,2017-08-28,Active,Willie Mullen - Finance:Hire Accountant - A/R - North America : Requisition-992,2017-04-24,True,,Monster.com,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-206097,Candidate-167402,Requisition-1129,2017-08-29,Position Filled,Persis Enciso - Finance:Hire Accountant - A/R - APAC : Requisition-1129,2017-04-25,False,,Ladders.com,Background checked,Background check complete,Recruiting,,True,False
Applicant-206110,Candidate-167414,Requisition-1119,2017-08-28,Active,Daphne Perez - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,2017-04-25,True,,Website,Offered,Offer countered,Business,,True,False
Applicant-206122,Candidate-50619,Requisition-1110,2017-08-28,Active,Ervin Montoya - IT:Hire IT Infrastructure Specialist - North America : Requisition-1110,2017-04-25,True,,Internal,Background checked,Background check complete,Recruiting,,True,False
Applicant-206129,Candidate-167423,Requisition-1103,2017-08-29,Position Filled,Shelly Walters - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-04-25,False,,Website,Offered,Offer sent,Business,,,False
Applicant-206134,Candidate-167427,Requisition-1101,2017-08-28,Active,Josephine Mckay - IT:Hire Information Security Specialist - North America : Requisition-1101,2017-04-25,True,,CSR,Offer Accepted,Move to background check,Recruiting,,True,False
Applicant-206134,Candidate-167427,Requisition-1101,2017-08-30,Active,Josephine Mckay - IT:Hire Information Security Specialist - North America : Requisition-1101,2017-04-25,True,,CSR,Background checked,Background check complete,Recruiting,,True,False
Applicant-206136,Candidate-167429,Requisition-1101,2017-08-29,Active,Ellie Mock - IT:Hire Information Security Specialist - North America : Requisition-1101,2017-04-25,True,,Website,Selected,Offer in preparation,Business,,True,False
Applicant-206299,Candidate-167567,Requisition-1129,2017-08-29,Position Filled,Eiza Hicks - Finance:Hire Accountant - A/R - APAC : Requisition-1129,2017-04-26,False,,Ladders.com,Offer Accepted,Move to background check,Recruiting,,True,False
Applicant-206305,Candidate-167571,Requisition-1126,2017-08-29,Active,Brianna Anderson - Finance:Hire Accountant - A/R - North America : Requisition-1126,2017-04-26,True,,Internal,Background checked,Background check complete,Recruiting,,True,False
Applicant-206308,Candidate-167573,Requisition-1125,2017-08-29,Position Filled,Evelyn White - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-04-26,False,,Hire Quick,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-206330,Candidate-167591,Requisition-1104,2017-08-30,Active,Haley Bair - Finance:Hire Financial Analyst - North America : Requisition-1104,2017-04-26,True,,Job Posting,Offer Accepted,Move to background check,Recruiting,,,False
Applicant-206491,Candidate-167714,Requisition-1125,2017-08-29,Position Filled,Alfred Braden - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-04-27,False,,Hire Quick,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-206497,Candidate-167718,Requisition-1119,2017-08-28,Active,Luna Harding - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,2017-04-27,True,,Website,Offered,Offer countered,Business,,True,False
Applicant-206497,Candidate-167718,Requisition-1119,2017-08-29,Active,Luna Harding - Customer Support:Hire Customer Support Team Lead - South America : Requisition-1119,2017-04-27,True,,Website,Offer Accepted,Move to background check,Recruiting,,True,False
Applicant-206703,Candidate-167880,Requisition-1137,2017-08-30,Active,Orpah Mcmahon - Marketing:Hire Marketing Manager - APAC : Requisition-1137,2017-04-28,True,,Internal,Interviews started,schedule for further interview,Business,,,False
Applicant-206705,Candidate-167882,Requisition-1136,2017-08-31,Active,Dahlia Boles - Finance:Hire Senior Accountant - North America : Requisition-1136,2017-04-28,True,,Website,Offered,Offer countered,Business,,True,False
Applicant-206719,Candidate-167894,Requisition-1125,2017-08-28,Active,Caitlin Stillwell - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-04-28,True,,Hire Quick,Background checked,Background check complete,Recruiting,,True,False
Applicant-206719,Candidate-167894,Requisition-1125,2017-08-29,Position Filled,Caitlin Stillwell - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-04-28,False,,Hire Quick,Background checked,Background check complete,Recruiting,,True,False
Applicant-206753,Candidate-167920,Requisition-1101,2017-08-30,Active,Anita Bradford - IT:Hire Information Security Specialist - North America : Requisition-1101,2017-04-28,True,,Job Posting,Offered,Offer countered,Business,,True,False
Applicant-206753,Candidate-167920,Requisition-1101,2017-08-31,Active,Anita Bradford - IT:Hire Information Security Specialist - North America : Requisition-1101,2017-04-28,True,,Job Posting,Offer Accepted,Move to background check,Recruiting,,True,False
Applicant-206911,Candidate-137087,Requisition-1140,2017-08-29,Active,Laurence Cardiel - Marketing:Hire Marketing Specialist - EMEA : Requisition-1140,2017-05-01,True,,Job Posting,Offer Accepted,Move to background check,Recruiting,,,False
Applicant-206923,Candidate-168061,Requisition-1129,2017-08-29,Hired,Lorri Ambrose - Finance:Hire Accountant - A/R - APAC : Requisition-1129,2017-05-01,False,Employee-3157,Ladders.com,Hired Yet to Start,Hired yet to start,Candidate,2018-01-05,True,False
Applicant-206924,Candidate-60779,Requisition-1129,2017-08-30,Position Filled,Rayna Maynard - Finance:Hire Accountant - A/R - APAC : Requisition-1129,2017-05-01,False,,Ladders.com,Offered,Offer sent,Business,,False,False
Applicant-206927,Candidate-168063,Requisition-1126,2017-08-29,Active,Evan Rocha - Finance:Hire Accountant - A/R - North America : Requisition-1126,2017-05-01,True,,Website,Offered,Offer sent,Business,,False,False
Applicant-206980,Candidate-168105,Requisition-1084,2017-08-28,Active,Charlie Everett - Operations:Hire Software Developer - EMEA : Requisition-1084,2017-05-01,True,,Plant Power,Offer Accepted,Move to background check,Recruiting,,False,False
Applicant-207077,Candidate-168182,Requisition-992,2017-08-28,Active,Howard Swanson - Finance:Hire Accountant - A/R - North America : Requisition-992,2017-05-01,True,,Monster.com,Offered,Offer countered,Business,,False,False
Applicant-207131,Candidate-41257,Requisition-1144,2017-08-28,Active,Leila Jimenez - Finance:Hire Financial Analyst - North America : Requisition-1144,2017-05-02,True,,Internal,Background checked,Background check complete,Recruiting,,,False
Applicant-207141,Candidate-50742,Requisition-1128,2017-08-28,Active,Marsha Gardner - Sales:Hire Sales Coordinator - North America : Requisition-1128,2017-05-02,True,,Monster.com,Hired Yet to Start,Hired yet to start,Candidate,,,False
Applicant-207154,Candidate-168242,Requisition-1122,2017-08-28,Active,Marybeth Williams - Finance:Hire Finance Manager - A/R - North America : Requisition-1122,2017-05-02,True,,Monster.com,Offered,Offer countered,Business,,,False
Applicant-207154,Candidate-168242,Requisition-1122,2017-08-30,Active,Marybeth Williams - Finance:Hire Finance Manager - A/R - North America : Requisition-1122,2017-05-02,True,,Monster.com,Offer Accepted,Move to background check,Recruiting,,,False
Applicant-207178,Candidate-168259,Requisition-1103,2017-08-29,Position Filled,Halo Luna - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-05-02,False,,Monster.com,Selected,Offer in preparation,Business,,False,False
Applicant-207272,Candidate-168334,Requisition-1008,2017-08-28,Active,Ivory Cohen - Operations:Hire Plant Supervisor - North America : Requisition-1008,2017-05-02,True,,Job Posting,Offer Accepted,Move to background check,Recruiting,,True,False
Applicant-207328,Candidate-168383,Requisition-1143,2017-08-31,Active,Krista Ewing - Finance:Hire Accountant - A/R - North America : Requisition-1143,2017-05-03,True,,Job Posting,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-207349,Candidate-168400,Requisition-1129,2017-08-30,Position Filled,Valery Rosario - Finance:Hire Accountant - A/R - APAC : Requisition-1129,2017-05-03,False,,Ladders.com,Selected,Offer in preparation,Business,,True,False
Applicant-207359,Candidate-168406,Requisition-1123,2017-08-28,Active,Sunny Miyamoto - IT:Hire IT Infrastructure Specialist - North America : Requisition-1123,2017-05-03,True,,CSR,Selected,Offer in preparation,Business,,,False
Applicant-207372,Candidate-97556,Requisition-1104,2017-08-29,Active,Vincent Jensen - Finance:Hire Financial Analyst - North America : Requisition-1104,2017-05-03,True,,Job Posting,Selected,Offer in preparation,Business,,False,False
Applicant-207378,Candidate-168419,Requisition-1103,2017-08-28,Active,Abril Cordova - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-05-03,True,,LinkedIn.com,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-207378,Candidate-168419,Requisition-1103,2017-08-29,Position Filled,Abril Cordova - IT:Hire Information Security Specialist - North America : Requisition-1103,2017-05-03,False,,LinkedIn.com,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-207551,Candidate-168557,Requisition-1142,2017-08-29,Active,Miyu Vega - IT:Hire IT Infrastructure Specialist - EMEA : Requisition-1142,2017-05-04,True,,Website,Hired Yet to Start,Hired yet to start,Candidate,,True,False
Applicant-207579,Candidate-168580,Requisition-1126,2017-08-31,Rejected,Leanne Ibarra - Finance:Hire Accountant - A/R - North America : Requisition-1126,2017-05-04,False,,Internal,Interviews completed,Move to selection decision,Business,,True,False
Applicant-207583,Candidate-168584,Requisition-1122,2017-08-29,Active,Nori Terrell - Finance:Hire Finance Manager - A/R - North America : Requisition-1122,2017-05-04,True,,Monster.com,Hired Yet to Start,Hired yet to start,Candidate,,False,False
Applicant-207598,Candidate-168598,Requisition-1108,2017-08-28,Active,Lindsay Bauer - HR:Hire Talent Management Specialist - North America : Requisition-1108,2017-05-04,True,,Internal,Offered,Offer countered,Business,,True,False
Applicant-207598,Candidate-168598,Requisition-1108,2017-08-31,Position Filled,Lindsay Bauer - HR:Hire Talent Management Specialist - North America : Requisition-1108,2017-05-04,False,,Internal,Offered,Offer countered,Business,,True,False
Applicant-207604,Candidate-168601,Requisition-1104,2017-08-28,Active,Holly Phillips - Finance:Hire Financial Analyst - North America : Requisition-1104,2017-05-04,True,,Job Posting,Selected,Offer in preparation,Business,,True,False
Applicant-207711,Candidate-168682,Requisition-992,2017-08-31,Active,Paola Burroughs - Finance:Hire Accountant - A/R - North America : Requisition-992,2017-05-04,True,,Monster.com,Offer Accepted,Move to background check,Recruiting,,,False
Applicant-207790,Candidate-168752,Requisition-1110,2017-08-31,Active,Brian Hardy - IT:Hire IT Infrastructure Specialist - North America : Requisition-1110,2017-05-05,True,,Internal,Selected,Offer in preparation,Business,,False,False
Applicant-207938,Candidate-168867,Requisition-1144,2017-08-28,Active,Yasmin Carlson - Finance:Hire Financial Analyst - North America : Requisition-1144,2017-05-08,True,,Website,Offered,Offer countered,Business,,True,False
Applicant-207938,Candidate-168867,Requisition-1144,2017-08-31,Active,Yasmin Carlson - Finance:Hire Financial Analyst - North America : Requisition-1144,2017-05-08,True,,Website,Offer Accepted,Move to background check,Recruiting,,True,False
Applicant-207943,Candidate-168871,Requisition-1142,2017-08-29,Active,Mateo Armstrong - IT:Hire IT Infrastructure Specialist - EMEA : Requisition-1142,2017-05-08,True,,Website,Offered,Offer sent,Business,,,False
Applicant-207946,Candidate-10596,Requisition-1141,2017-08-28,Active,Athalia Ruiz - Sales:Hire Sales Development Representative - EMEA : Requisition-1141,2017-05-08,True,,Job Posting,Offer Accepted,Move to background check,Recruiting,,False,False
Applicant-207946,Candidate-10596,Requisition-1141,2017-08-31,Active,Athalia Ruiz - Sales:Hire Sales Development Representative - EMEA : Requisition-1141,2017-05-08,True,,Job Posting,Background checked,Background check complete,Recruiting,,False,False
Applicant-207956,Candidate-168880,Requisition-1135,2017-08-31,Active,Lorraine Guillory - Operations:Hire Maintenance Engineer - North America : Requisition-1135,2017-05-08,True,,Job Posting,Offered,Offer sent,Business,,True,False
Applicant-207966,Candidate-168890,Requisition-1126,2017-08-30,Active,Irene Cheng - Finance:Hire Accountant - A/R - North America : Requisition-1126,2017-05-08,True,,Website,Interviews completed,Move to selection decision,Business,,True,False
Applicant-207968,Candidate-19162,Requisition-1125,2017-08-28,Active,Margie Delatorre - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-05-08,True,,CSR,Offered,Offer sent,Business,,True,False
Applicant-207968,Candidate-19162,Requisition-1125,2017-08-29,Position Filled,Margie Delatorre - Finance:Hire Senior Accountant - EMEA : Requisition-1125,2017-05-08,False,,CSR,Offered,Offer sent,Business,,True,False
